model,repetition,val_r2,val_mse,val_mae,params
KNN,4,0.9832089890363896,1.439348606368362,0.03735001653676546,"{'weights': 'distance', 'n_neighbors': 273}"
KNN,0,0.9832068100157922,1.4395328478507399,0.03722519662197009,"{'weights': 'distance', 'n_neighbors': 303}"
KNN,3,0.9832068100157922,1.4395328478507399,0.03722519662197009,"{'weights': 'distance', 'n_neighbors': 445}"
KNN,5,0.9832068100157922,1.4395328478507399,0.03722519662197009,"{'weights': 'distance', 'n_neighbors': 323}"
KNN,7,0.9832068100157922,1.4395328478507399,0.03722519662197009,"{'weights': 'distance', 'n_neighbors': 323}"
KNN,9,0.9832068100157922,1.4395328478507399,0.03722519662197009,"{'weights': 'distance', 'n_neighbors': 445}"
KNN,6,0.9831371071564724,1.4454478472299181,0.03371001363741104,"{'weights': 'distance', 'n_neighbors': 243}"
KNN,1,0.9831327069351697,1.4458223361609281,0.03351223592198712,"{'weights': 'distance', 'n_neighbors': 253}"
KNN,2,0.9830213551378533,1.4553260216542634,0.02910230083896721,"{'weights': 'distance', 'n_neighbors': 182}"
KNN,8,0.9830193037991567,1.4555014820561532,0.02902948200724957,"{'weights': 'distance', 'n_neighbors': 223}"
KNN_d1,8,-77.52918918408162,177.35294592966838,10.014284166144057,"{'weights': 'distance', 'n_neighbors': 223}"
KNN_d1,1,-78.4478634862927,177.2406480553909,10.01508211432783,"{'weights': 'distance', 'n_neighbors': 233}"
KNN_d1,2,-80.35652551068111,177.20095089895494,10.015233820135604,"{'weights': 'distance', 'n_neighbors': 253}"
KNN_d1,7,-81.55465607241275,177.1818758185418,10.017989619107688,"{'weights': 'distance', 'n_neighbors': 273}"
KNN_d1,5,-83.7350681603629,177.13635149308672,10.017431090397187,"{'weights': 'distance', 'n_neighbors': 303}"
KNN_d1,9,-83.7350681603629,177.13635149308672,10.017431090397187,"{'weights': 'distance', 'n_neighbors': 303}"
KNN_d1,3,-86.12950708623957,177.03715742693797,10.012792071969667,"{'weights': 'distance', 'n_neighbors': 344}"
KNN_d1,6,-88.46209485329223,177.01459173776482,10.009178101133497,"{'weights': 'distance', 'n_neighbors': 394}"
KNN_d1,0,-90.42136357733229,176.99501468163618,10.008442799708414,"{'weights': 'distance', 'n_neighbors': 434}"
KNN_d1,4,-99.66313746072764,176.83805303582608,9.996158764692307,"{'weights': 'distance', 'n_neighbors': 656}"
SVR,9,-29.122262818057063,84.45723154289236,6.823221155324661,"{'kernel': 'rbf', 'epsilon': 0.4181818181818182, 'C': 5.454545454545455}"
SVR,2,-29.7826584929185,84.42352373078675,6.832846071492545,"{'kernel': 'rbf', 'epsilon': 0.8090909090909091, 'C': 5.181818181818182}"
SVR,7,-29.86630316556689,84.67260873547644,6.827450558179713,"{'kernel': 'rbf', 'epsilon': 0.2727272727272727, 'C': 4.818181818181818}"
SVR,1,-29.921201301473605,84.48261838747054,6.830466675755213,"{'kernel': 'rbf', 'epsilon': 0.6818181818181818, 'C': 5.090909090909091}"
SVR,5,-30.25377986086788,84.76620331337168,6.831950130926867,"{'kernel': 'rbf', 'epsilon': 0.26363636363636367, 'C': 4.454545454545455}"
SVR,8,-31.705587319210927,84.74180012410048,6.846525593201778,"{'kernel': 'rbf', 'epsilon': 0.7818181818181817, 'C': 3.909090909090909}"
SVR,6,-32.228405591853786,85.1071099048573,6.847349101832004,"{'kernel': 'rbf', 'epsilon': 0.19090909090909092, 'C': 3.272727272727273}"
SVR,4,-34.817515406169285,85.16411365184041,6.862273378007885,"{'kernel': 'rbf', 'epsilon': 0.6727272727272727, 'C': 2.6363636363636367}"
SVR,0,-36.12605341695686,85.32228745572414,6.874623016870508,"{'kernel': 'rbf', 'epsilon': 0.7272727272727272, 'C': 2.090909090909091}"
SVR,3,-38.94651746363965,85.67940239164737,6.8889181407488005,"{'kernel': 'rbf', 'epsilon': 0.3909090909090909, 'C': 1.3636363636363638}"
